Fecha de la actividad,Tipo de actividad,Distancia,Distancia.1,Tiempo en movimiento,Tiempo transcurrido,Tiempo transcurrido.1,Desnivel positivo,Ritmo cardiaco promedio,Velocidad promedio
"11 sept 2026, 14:42:54",Caminata,"3,98",3984.0,2530.0,2530,2530.0,66.5,,1.575
"10 sept 2026, 23:07:05",Bicicleta,"27,58",27579.8,5410.0,7069,7069.0,561.6,142.0,5.098
"9 sept 2026, 23:56:31",Carrera,"11,34",11340.8,4091.0,5392,5392.0,91.8,,2.772
"6 sept 2026, 12:57:29",Caminata,"5,12",5123.8,2621.0,6578,6578.0,200.2,112.0,1.955
"5 sept 2026, 16:08:06",Caminata,"5,77",5770.1,5998.0,6116,6116.0,244.8,105.0,0.962
"4 sept 2026, 0:00:36",Carrera,"11,02",11024.3,4066.0,4495,4495.0,65.6,,2.711
"2 sept 2026, 23:48:05",Carrera,"9,28",9279.7,3410.0,4679,4679.0,79.1,,2.721
"1 sept 2026, 14:18:00",Bicicleta,"28,78",28782.4,4615.0,4875,4875.0,294.0,127.0,6.237
"31 ago 2026, 22:10:33",Bicicleta,"23,32",23322.3,3455.0,3455,3455.0,199.0,140.0,6.75
"29 ago 2026, 12:00:15",Carrera,"15,36",15363.7,6664.0,9787,9787.0,1374.5,161.0,2.305
"27 ago 2026, 12:25:27",Bicicleta,"28,64",28648.9,5838.0,7035,7035.0,390.8,116.0,4.907
"26 ago 2026, 17:42:00",Entrenamiento,0,0.0,1736.0,1736,1736.0,0.0,108.0,0.0
"26 ago 2026, 15:07:27",Bicicleta,"33,86",33864.8,6187.0,6275,6275.0,658.4,146.0,5.474
"25 ago 2026, 23:59:03",Carrera,"9,14",9142.3,3490.0,3539,3539.0,38.6,,2.62
"23 ago 2026, 13:03:00",Carrera,"15,15",15149.7,9654.0,10865,10865.0,888.2,155.0,1.569
"22 ago 2026, 15:12:34",Carrera,"12,07",12076.8,7095.0,18919,18919.0,214.1,,1.702
"21 ago 2026, 14:51:46",Bicicleta,"35,98",35983.1,6171.0,6228,6228.0,467.0,134.0,5.831
"21 ago 2026, 0:04:27",Carrera,"10,39",10398.3,4311.0,5698,5698.0,189.0,,2.412
"19 ago 2026, 23:14:16",Bicicleta,"42,84",42844.8,7333.0,9429,9429.0,505.0,136.0,5.843
"19 ago 2026, 0:29:33",Carrera,"8,01",8010.7,3102.0,3152,3152.0,39.1,,2.582
"18 ago 2026, 22:55:00",Entrenamiento,0,0.0,3357.0,3357,3357.0,0.0,122.0,0.0
"17 ago 2026, 13:52:59",Bicicleta,"27,74",27747.9,4585.0,8737,8737.0,214.0,124.0,6.052
"17 ago 2026, 0:08:24",Carrera,"15,01",15012.6,5254.0,5299,5299.0,76.2,,2.857
"16 ago 2026, 14:57:24",Carrera,"5,41",5416.4,2162.0,2538,2538.0,323.0,,2.505
"14 ago 2026, 13:18:51",Bicicleta,"36,33",36335.4,6486.0,7966,7966.0,451.0,129.0,5.602
"13 ago 2026, 13:46:39",Carrera,"8,74",8739.1,3760.0,3772,3772.0,99.9,,2.324
"12 ago 2026, 16:21:00",Entrenamiento,0,0.0,6529.0,6529,6529.0,0.0,115.0,0.0
"12 ago 2026, 13:37:44",Bicicleta,"34,23",34230.9,7245.0,7449,7449.0,518.6,136.0,4.725
"11 ago 2026, 16:21:00",Entrenamiento,0,0.0,4583.0,4583,4583.0,0.0,114.0,0.0
"11 ago 2026, 14:02:00",Carrera,"7,72",7725.7,3228.0,3228,3228.0,100.7,154.0,2.393
"10 ago 2026, 12:00:32",Caminata,"4,10",4100.0,3120.0,3120,3120.0,,,1.314
"9 ago 2026, 13:13:02",Carrera,"9,49",9497.5,4772.0,6750,6750.0,409.5,156.0,1.99
"8 ago 2026, 13:27:57",Bicicleta,"30,82",30820.6,5635.0,12904,12904.0,452.0,130.0,5.469
"7 ago 2026, 13:13:45",Caminata,"5,94",5945.6,3811.0,4261,4261.0,99.7,,1.56
"6 ago 2026, 14:25:03",Bicicleta,"41,65",41649.8,6912.0,7806,7806.0,450.0,144.0,6.026
"6 ago 2026, 8:00:00",Entrenamiento,0,0.0,7555.0,7555,7555.0,0.0,123.0,0.0
"5 ago 2026, 15:53:00",Entrenamiento,0,0.0,4215.0,4215,4215.0,0.0,106.0,0.0
"5 ago 2026, 14:44:04",Bicicleta,"10,14",10147.0,2111.0,2163,2163.0,63.9,,4.807
"5 ago 2026, 13:38:57",Carrera,"7,09",7092.9,2648.0,3063,3063.0,8.3,,2.679
"5 ago 2026, 0:03:02",Carrera,"6,42",6419.3,2612.0,2649,2649.0,20.9,158.0,2.458
"2 ago 2026, 21:27:54",Carrera,"4,54",4539.9,2277.0,3100,3100.0,394.1,170.0,1.994
"2 ago 2026, 20:11:55",Bicicleta,"20,53",20537.2,3708.0,17218,17218.0,178.0,140.0,5.539
"1 ago 2026, 14:14:03",Bicicleta,"50,79",50790.1,8469.0,16541,16541.0,438.0,136.0,5.997
"31 jul 2026, 13:27:49",Carrera,"8,26",8262.1,3242.0,3277,3277.0,65.6,171.0,2.548
"29 jul 2026, 14:35:56",Bicicleta,"29,81",29813.2,4533.0,4571,4571.0,284.0,,6.577
"25 jul 2026, 14:00:54",Carrera,"3,24",3239.0,1114.0,1114,1114.0,31.4,171.0,2.908
"25 jul 2026, 13:15:20",Carrera,"1,79",1791.7,716.0,716,716.0,57.1,154.0,2.502
"22 jul 2026, 12:33:50",Bicicleta,"30,88",30885.9,5261.0,9446,9446.0,444.0,,5.871
"18 jul 2026, 12:09:38",Caminata,"2,00",2000.0,1200.0,1200,1200.0,,,1.667
"9 jul 2026, 13:16:53",Carrera,"5,11",5110.0,1844.0,1847,1847.0,83.7,176.0,2.771
"6 jul 2026, 13:57:23",Bicicleta,"21,80",21801.0,3514.0,3915,3915.0,279.0,,6.204
"27 jun 2026, 13:17:16",Carrera,"6,14",6144.9,2215.0,2803,2803.0,8.3,,2.774
